address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
13 Mcmillan Avenue,Toronto,West Hill,2+1,1,Detached,Bungalow,36,9500.0,No Data,No Data,979900.0,5351.0,2585,1480000.0,2021
26 Amsterdam Avenue,Toronto,East York,4+1,4,Detached,2-Storey,68,3301.0,0-5 years,2000-2500 sqft,1749000.0,9482.0,5965,1527000.0,2020
26 Summerhill Avenue,Toronto,Rosedale-moore Park,4,4,Detached,3-Storey,87,3250.0,No Data,No Data,2895000.0,15878.0,11962,2749000.0,2021
907 - 350 Alton Towers Circle,Toronto,Milliken,2+1,2,Condo Apt,Apartment,87,No Data,Restrict,1000-1199 sqft,699900.0,3740.0,1571,718000.0,2022
211 - 199 Richmond Street W,Toronto,Waterfront Communities C1,1+1,2,Condo Apt,Apartment,87,6-10 years,Restrict,600-699 sqft,749000.0,4022.0,2711,718000.0,2022
Ph 1001 - 10 Morrison Street,Toronto,Waterfront Communities C1,4,3,Condo Apt,Apartment,87,11-15 years,Restrict,3250-3499 sqft,4995000.0,27598.0,14497,2499000.0,2012
633 Rhodes Avenue,Toronto,Greenwood-coxwell,3+1,3,SEMI-DETACHED,2-Storey,85,1860.0,51-99 years,1100-1500 sqft,1150000.0,6139.0,3697,2499000.0,2012
3 Havenway Gate,Toronto,West Hill,3+1,2,Detached,Sidesplit 3,38,5694.0,No Data,No Data,988000.0,5397.0,3014,799000.0,2019
1 - 377 Spadina Road,Toronto,Forest Hill South,4,6,Att/Row/Twnhouse,Other,83,2250.0,New,No Data,4495000.0,24808.0,3014,799000.0,2019
68 Cadillac Avenue,Toronto,Clanton Park,3,2,Detached,2-Storey,59,6598.8,No Data,No Data,1299900.0,6976.0,4192,309000.0,2003
445 - 30 Shore Breeze Drive,Toronto,Mimico,1,1,Condo Apt,Apartment,59,No Data,Restrict,500-599 sqft,629900.0,3337.0,1800,309000.0,2003
Th109 - 160 Vanderhoof Avenue,Toronto,Leaside,2+1,3,Condo Townhouse,2-Storey,59,No Data,Restrict,1000-1199 sqft,1049000.0,5575.0,4202,999000.0,2020
805 - 5418 Yonge Street,Toronto,Willowdale West,3,2,Condo Apt,Apartment,59,No Data,Restrict,1200-1399 sqft,899900.0,4890.0,3186,999000.0,2020
617 - 5418 Yonge Street,Toronto,Willowdale West,2+1,2,Condo Apt,Apartment,59,No Data,Restrict,900-999 sqft,795900.0,4292.0,2338,699990.0,2022
2311 - 87 Peter Street,Toronto,Waterfront Communities C1,1,1,Condo Apt,Apartment,59,No Data,Restrict,500-599 sqft,630000.0,3337.0,2237,1600.0,2020
10 Willard Gardens,Toronto,High Park-swansea,3+1,4,Detached,2-Storey,83,3120.0,No Data,No Data,2499000.0,13668.0,8246,1999000.0,2021
140 Winona Drive,Toronto,Wychwood,3+1,2,Detached,2-Storey,85,2004.6799999999998,No Data,No Data,1399000.0,7529.0,5687,1999000.0,2021
309 Seaton Street,Toronto,Moss Park,3+1,3,Att/Row/Twnhouse,2-Storey,94,1662.72,100+ years,No Data,1395000.0,7507.0,7198,1999000.0,2021
503 - 625 The West Mall,Toronto,Eringate-centennial-west Deane,2+1,2,Condo Apt,Apartment,94,No Data,Restrict,1200-1399 sqft,549000.0,2871.0,1390,645000.0,2022
703 - 17 Zorra Street,Toronto,Islington-city Centre West,1+1,1,Condo Apt,Apartment,94,0-5 years,Restrict,500-599 sqft,499000.0,2584.0,1611,458200.0,2019
218 - 308 Palmerston Avenue,Toronto,Palmerston-little Italy,1,1,Condo Apt,Apartment,94,No Data,Restrict,500-599 sqft,595000.0,3136.0,1839,325000.0,2013
417 - 218 King Street E,Toronto,Moss Park,1,1,Condo Apt,Loft,94,16-30 years,Restrict,600-699 sqft,599000.0,3159.0,2471,325000.0,2013
# 4107 - 403 Church Street,Toronto,Church-yonge Corridor,1,1,Condo Apt,Apartment,94,0-5 years,Restrict,500-599 sqft,675000.0,3596.0,2839,325000.0,2013
302 - 1901 Bayview Avenue,Toronto,Leaside,1,1,Condo Apt,Apartment,94,No Data,Restrict,600-699 sqft,519000.0,2699.0,1043,325000.0,2013
1716 - 8 Hillcrest Avenue,Toronto,Willowdale East,2,2,Condo Apt,Apartment,94,No Data,Restrict,800-899 sqft,799000.0,4310.0,3052,1900.0,2013
82 Allister Avenue,Toronto,Cliffcrest,4+2,5,Detached,2-Storey,61,12356.315,New,3500-5000 sqft,2799000.0,15342.0,3391,799900.0,2018
905 - 121 Ling Road,Toronto,West Hill,1+1,2,Condo Apt,Apartment,61,31-50 years,N,900-999 sqft,619000.0,3274.0,1279,147500.0,2009
2008 - 8 Lee Centre Drive,Toronto,Woburn,2,2,Condo Apt,Apartment,61,No Data,Restrict,800-899 sqft,578000.0,3038.0,1515,679000.0,2022
321 - 2035 Sheppard Avenue E,Toronto,Henry Farm,1,1,Condo Apt,Apartment,61,No Data,Restrict,600-699 sqft,579900.0,3049.0,1902,679000.0,2022
