address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
2205 - 5 St Joseph Street,Toronto,Bay Street Corridor,1+1,2,Condo Apt,Apartment,11,6-10 years,Restrict,600-699 sqft,920000.0,5006.0,2982,678000.0,2018
376 Cleveland Street,Toronto,Mount Pleasant East,3+1,5,Detached,2-Storey,87,3750.0,No Data,No Data,3295000.0,18111.0,6465,1599000.0,2019
3904 - 10 Park Lawn Road,Toronto,Mimico,2,2,Condo Apt,Apartment,87,0-5 years,Restrict,700-799 sqft,799900.0,4315.0,2505,1599000.0,2019
2205 - 5 St Joseph Street,Toronto,Bay Street Corridor,1+1,2,Condo Apt,Apartment,87,6-10 years,Restrict,600-699 sqft,920000.0,5006.0,2982,678000.0,2018
376 Cleveland Street,Toronto,Mount Pleasant East,3+1,5,Detached,2-Storey,87,3750.0,No Data,No Data,3295000.0,18111.0,6465,1599000.0,2019
3904 - 10 Park Lawn Road,Toronto,Mimico,2,2,Condo Apt,Apartment,87,0-5 years,Restrict,700-799 sqft,799900.0,4315.0,2505,1599000.0,2019
70 Furrow Lane,Toronto,Islington-city Centre West,3,4,Att/Row/Twnhouse,3-Storey,66,1250.2896,No Data,2000-2500 sqft,1539000.0,8310.0,5125,649000.0,2007
23 Fifth Street,Toronto,New Toronto,3+1,4,Detached,2-Storey,66,3075.0,0-5 years,2500-3000 sqft,2300000.0,12557.0,6697,2300000.0,2022
369 Deloraine Avenue,Toronto,Bedford Park-nortown,4+1,5,Detached,2-Storey,72,3750.0,No Data,2500-3000 sqft,3798000.0,20918.0,7008,1399000.0,2019
410 - 70 Annie Craig Drive,Toronto,Mimico,2,2,Condo Apt,Apartment,72,0-5 years,Restrict,800-899 sqft,869900.0,4718.0,7008,899900.0,2022
1506 - 2 Sonic Way,Toronto,Flemingdon Park,1+1,2,Condo Apt,Apartment,72,0-5 years,Restrict,600-699 sqft,599000.0,3159.0,2079,899900.0,2022
523 Vesta Drive,Toronto,Forest Hill South,4+1,7,Detached,2-Storey,71,5185.0,No Data,No Data,5488880.0,30355.0,2079,4988800.0,2022
923 - 8 Hillsdale Avenue,Toronto,Mount Pleasant West,1,1,Condo Apt,Apartment,71,No Data,Restrict,0-499 sqft,529999.0,2762.0,1515,1500.0,2021
1802 - 10 Edgecliff Gfwy,Toronto,Flemingdon Park,2+1,1,Condo Apt,Apartment,71,31-50 years,Restrict,900-999 sqft,589900.0,3107.0,1302,1500.0,2021
11 North Drive,Toronto,Edenbridge-humber Valley,4+1,8,Detached,2-Storey,17,17034.7821,0-5 years,5000+ sqft,8388000.0,46535.0,24496,1999800.0,2014
82 Edenbridge Drive,Toronto,Edenbridge-humber Valley,6,4,Detached,Bungalow,30,25334.0,No Data,No Data,3800000.0,20929.0,13018,3999999.0,2022
54 Sheffley Crescent,Toronto,Willowridge-martingrove-richview,4,4,Detached,2-Storey,47,5825.49,No Data,1500-2000 sqft,1749000.0,9482.0,6079,3999999.0,2022
5 - 243 Macdonell Avenue,Toronto,Roncesvalles,3,3,Condo Townhouse,2-Storey,47,No Data,Restrict,2250-2499 sqft,2200000.0,11999.0,5908,690000.0,2010
813 - 30 Baseball Place,Toronto,South Riverdale,1,1,Condo Apt,Apartment,47,No Data,Restrict,500-599 sqft,549999.0,2877.0,5908,549999.0,2022
405 - 319 Carlaw Avenue,Toronto,South Riverdale,1,1,Condo Apt,Apartment,47,No Data,Restrict,500-599 sqft,569000.0,2986.0,1795,429000.0,2017
3302 - 89 Dunfield Avenue,Toronto,Mount Pleasant West,1+1,1,Condo Apt,Apartment,47,No Data,Restrict,700-799 sqft,758000.0,4074.0,3349,778000.0,2022
24 North Drive,Toronto,Birchcliffe-cliffside,4+1,6,Detached,2-Storey,71,4998.75,0-5 years,3000-3500 sqft,3495000.0,19227.0,4544,3595000.0,2022
203 - 38 William Carson Crescent,Toronto,St. Andrew-windfields,2+1,2,Condo Apt,Apartment,71,No Data,Restrict,1000-1199 sqft,999900.0,5466.0,3630,1099000.0,2022
101 - 112 St Clair Avenue W,Toronto,Yonge-st. Clair,2,3,Condo Apt,Apartment,71,11-15 years,Restrict,1600-1799 sqft,1995000.0,10855.0,7295,2195000.0,2022
23 Tinton Crescent,Toronto,Mount Olive-silverstone-jamestown,4,2,Detached,2-Storey,52,5747.995,No Data,No Data,1099000.0,5855.0,3147,2195000.0,2022
1212 - 100 Echo Point,Toronto,L'amoreaux,3,1,Condo Apt,Apartment,52,No Data,N,1200-1399 sqft,499000.0,2584.0,1295,2195000.0,2022
4806 - 115 Blue Jays Way,Toronto,Waterfront Communities C1,1+1,1,Condo Apt,Apartment,52,0-5 years,Restrict,500-599 sqft,739000.0,3965.0,2875,768000.0,2022
2208 - 180 University Avenue,Toronto,Bay Street Corridor,2,3,Condo Apt,Apartment,52,6-10 years,Restrict,1400-1599 sqft,1830000.0,9934.0,6945,1625000.0,2021
106 - 100 Coe Hill Drive,Toronto,High Park-swansea,1,1,Co-Ownership Apt,Apartment,52,51-99 years,Restrict,700-799 sqft,499999.0,2589.0,6945,550000.0,2022
621 - 111 St. Clair Avenue W,Toronto,Yonge-st. Clair,2,2,Condo Apt,Apartment,52,No Data,Restrict,900-999 sqft,1295000.0,6948.0,4019,1368000.0,2022
810 - 80 Mill Street,Toronto,Waterfront Communities C8,n/a,1,Condo Apt,Apartment,52,No Data,Restrict,500-599 sqft,489900.0,2531.0,1541,499000.0,2022
201 - 6 Jackes Avenue,Toronto,Rosedale-moore Park,2,3,Condo Apt,Apartment,52,0-5 years,Restrict,1800-1999 sqft,3375000.0,18557.0,9624,3495000.0,2022
Th109 - 160 Vanderhoof Avenue,Toronto,Leaside,2+1,3,Condo Townhouse,2-Storey,52,No Data,Restrict,1000-1199 sqft,1049000.0,5575.0,4202,999000.0,2020
917 - 38 Joe Shuster Way,Toronto,Niagara,1,1,Condo Apt,Apartment,52,No Data,Restrict,0-499 sqft,519900.0,2704.0,1327,239900.0,2014
10 Pheasant Lane,Toronto,Princess-rosethorn,4,2,Detached,2-Storey,49,18000.0,No Data,No Data,4299000.0,23714.0,8986,3499000.0,2021
136 Farnham Avenue,Toronto,Yonge-st. Clair,3+1,4,SEMI-DETACHED,3-Storey,84,4667.219999999999,No Data,2500-3000 sqft,3496000.0,19232.0,14604,3496000.0,2022
220 Glenholme Avenue,Toronto,Oakwood Village,4+1,2,Detached,2-Storey,60,3000.0,No Data,1500-2000 sqft,1599000.0,8645.0,4809,4680.0,2022
4005 - 2220 Lake Shore Boulevard W,Toronto,Mimico,1+1,1,Condo Apt,Apartment,60,No Data,Restrict,600-699 sqft,729900.0,3912.0,1931,4680.0,2022
925 - 3600 Yonge Street,Toronto,Bedford Park-nortown,3,3,Condo Apt,Apartment,60,16-30 years,Restrict,3500-3749 sqft,3750000.0,20650.0,16064,3998000.0,2022
22 Redwater Drive,Toronto,Rexdale-kipling,2,2,Detached,1 1/2 Storey,58,8754.2,No Data,No Data,1089000.0,5799.0,3046,3998000.0,2022
855 Richmond Street W,Toronto,Trinity-bellwoods,2+1,3,Att/Row/Twnhouse,3-Storey,89,589.2191999999999,6-15 years,1500-2000 sqft,1949000.0,10598.0,6835,929000.0,2010
204 - 65 Skymark Drive,Toronto,Hillcrest Village,2,2,Condo Apt,Apartment,89,No Data,N,1600-1799 sqft,785000.0,4229.0,2856,849000.0,2022
209 - 99 Broadway Avenue,Toronto,Mount Pleasant West,2,2,Condo Apt,Apartment,89,No Data,Restrict,800-899 sqft,794999.0,4287.0,2856,498990.0,2016
107 - 215 Fort York Boulevard,Toronto,Niagara,2+1,2,Condo Apt,Apartment,89,No Data,Restrict,900-999 sqft,989000.0,5403.0,2932,494900.0,2015
366 Mcroberts Avenue,Toronto,Caledonia-fairbank,3+1,2,SEMI-DETACHED,2-Storey,72,1440.0,No Data,No Data,1299000.0,6971.0,3340,1199000.0,2022
402 - 451 Rosewell Avenue,Toronto,Lawrence Park South,2,2,Condo Apt,Apartment,72,No Data,Restrict,900-999 sqft,930000.0,5064.0,2921,495000.0,2014
10 Shank Street,Toronto,Niagara,2,3,Condo Townhouse,Stacked Townhse,72,No Data,Restrict,1200-1399 sqft,999999.0,5466.0,3728,518000.0,2013
17 Relmar Road,Toronto,Yonge-st. Clair,3+1,4,SEMI-DETACHED,2-Storey,80,2730.0,No Data,No Data,2250000.0,12278.0,10085,2350000.0,2022
903 - 49 Silverstone Drive,Toronto,Mount Olive-silverstone-jamestown,2,2,Condo Apt,Apartment,80,No Data,Restrict,1000-1199 sqft,549900.0,2876.0,1112,2350000.0,2022
1309 - 30 Ordnance Street,Toronto,Waterfront Communities C1,1+1,1,Condo Apt,Apartment,80,0-5 years,Restrict,600-699 sqft,759900.0,4085.0,2493,768800.0,2022
608 - 8 Mercer Street,Toronto,Waterfront Communities C1,3,2,Condo Apt,Apartment,80,No Data,Restrict,1200-1399 sqft,1299000.0,6971.0,5346,709000.0,2016
815 - 83 Borough Drive,Toronto,Bendale,2+1,2,Condo Apt,Apartment,80,No Data,Restrict,1000-1199 sqft,728888.0,3906.0,2269,529900.0,2018
3005 - 33 Helendale Avenue,Toronto,Yonge-eglinton,2+1,2,Condo Apt,Apartment,80,0-5 years,Restrict,800-899 sqft,976800.0,5333.0,4158,2900.0,2021
1001 - 51 East Liberty Street,Toronto,Niagara,1,2,Condo Apt,Apartment,80,No Data,Restrict,500-599 sqft,599900.0,3164.0,2155,2000.0,2022
24 Pendrith Street,Toronto,Dovercourt-wallace Emerson-junction,3,2,Detached,2-Storey,84,3476.2,No Data,No Data,1749000.0,9482.0,6439,1889000.0,2022
404 - 151 Avenue Road,Toronto,Annex,1+1,2,Condo Apt,Apartment,84,New,Restrict,600-699 sqft,928000.0,5052.0,3589,850000.0,2021
383 Woodfield Road,Toronto,Greenwood-coxwell,3,1,Att/Row/Twnhouse,2-Storey,85,1936.6274999999998,No Data,No Data,1059000.0,5631.0,4360,400000.0,2007
412 - 5 Frith Road,Toronto,Glenfield-jane Heights,1,1,Condo Apt,Apartment,85,No Data,Restrict,700-799 sqft,375000.0,1870.0,809,398000.0,2022
3906 - 110 Charles Street E,Toronto,Church-yonge Corridor,2,2,Condo Apt,Apartment,85,No Data,Restrict,800-899 sqft,1170000.0,6251.0,3214,1180000.0,2022
Ph 803 - 36 Howard Park Avenue,Toronto,Roncesvalles,2,2,Condo Apt,Apartment,85,0-5 years,Restrict,800-899 sqft,974900.0,5322.0,3381,1180000.0,2022
253 Dunvegan Road,Toronto,Forest Hill South,6+1,9,Detached,3-Storey,65,12047.320800000001,No Data,5000+ sqft,9595000.0,53271.0,26139,9695000.0,2022
Parking - 21 Iceboat Terrace,Toronto,Waterfront Communities C1,n/a,n/a,Condo Apt,Apartment,65,0-5 years,Restrict,0-499 sqft,59900.0,55.0,235,48800.0,2019
912 - 109 Front Street E,Toronto,Moss Park,1,1,Condo Townhouse,Apartment,65,No Data,Restrict,500-599 sqft,609999.0,3222.0,2059,48800.0,2019
9 - 35 Four Winds Drive,Toronto,York University Heights,4+1,3,Condo Townhouse,3-Storey,65,No Data,Restrict,1600-1799 sqft,746900.0,4010.0,1997,809900.0,2022
702 - 1 Forest Hill Road,Toronto,Forest Hill South,2+1,3,Condo Apt,Apartment,65,New,Restrict,2250-2499 sqft,4978000.0,27503.0,20499,4995000.0,2022
101 Admiral Road,Toronto,Annex,8,6,Detached,3-Storey,89,12115.872,No Data,No Data,10000000.0,55531.0,29445,4995000.0,2022
Ph1001 - 55 Stewart Street,Toronto,Waterfront Communities C1,2+1,3,Condo Apt,2-Storey,89,No Data,Restrict,2250-2499 sqft,2749000.0,15063.0,9296,2950000.0,2022
28 Clayhall Crescent,Toronto,York University Heights,3+1,2,SEMI-DETACHED,Sidesplit 3,21,1676.7168000000001,No Data,No Data,870000.0,4718.0,3200,2950000.0,2022
30 Kellythorne Drive,Toronto,Parkwoods-donalda,4+2,2,Detached,2-Storey,50,8804.706400000001,No Data,No Data,1788000.0,9700.0,6383,1299900.0,2021
305 - 170 Chiltern Hill Road W,Toronto,Humewood-cedarvale,2,2,Condo Apt,Apartment,50,0-5 years,Restrict,800-899 sqft,950000.0,5179.0,4341,849900.0,2019
Ph6 - 10 Sunny Glwy,Toronto,Flemingdon Park,1,1,Condo Apt,Apartment,50,No Data,Restrict,600-699 sqft,419000.0,2123.0,822,849900.0,2019
577 O'connor Drive,Toronto,O'connor-parkview,4+1,4,Detached,2-Storey,72,3300.0,16-30 years,2000-2500 sqft,1875000.0,10185.0,5520,849900.0,2019
1407 - 11 Bogert Avenue,Toronto,Lansing-westgate,2+1,2,Condo Apt,Apartment,72,No Data,Restrict,800-899 sqft,925888.0,5040.0,3385,3900.0,2019
4 Carsbrooke Road,Toronto,Etobicoke West Mall,3+1,2,Detached,Bungalow,70,6398.424999999999,51-99 years,1100-1500 sqft,1299000.0,6971.0,4241,3900.0,2019
701W - 565 Wilson Avenue,Toronto,Clanton Park,2+1,2,Condo Apt,Apartment,70,6-10 years,Restrict,900-999 sqft,799900.0,4315.0,2224,3900.0,2019
123 Anthony Road,Toronto,Downsview-roding-cfb,4+2,5,Detached,2-Storey,58,6000.0,New,3500-5000 sqft,2999990.0,16464.0,9258,2999990.0,2022
115 - 16 Litchfield Court,Toronto,West Humber-clairville,4,3,Condo Townhouse,2-Storey,58,No Data,Restrict,1200-1399 sqft,749900.0,4027.0,1637,549500.0,2019
102 - 1900 Lake Shore Boulevard W,Toronto,South Parkdale,1,1,Condo Apt,Apartment,58,No Data,Restrict,600-699 sqft,599000.0,3159.0,2044,399900.0,2019
1902 - 155 Cumberland Street,Toronto,Annex,2,3,Condo Apt,Apartment,58,11-15 years,Restrict,2500-2749 sqft,9800000.0,54415.0,23029,3995000.0,2015
308 - 41 Dovercourt Road,Toronto,Little Portugal,3,3,Condo Apt,2-Storey,58,No Data,Restrict,1400-1599 sqft,1599000.0,8645.0,6029,1699000.0,2022
643 - 36 Via Bagnato,Toronto,Yorkdale-glen Park,1+1,1,Condo Apt,Apartment,58,No Data,Restrict,600-699 sqft,659000.0,3504.0,2281,669000.0,2022
603 - 717 Eglinton Avenue W,Toronto,Forest Hill South,1+1,2,Co-Ownership Apt,Apartment,58,No Data,Restrict,1400-1599 sqft,2595000.0,14204.0,2281,2795000.0,2022
121 Dunvegan Road,Toronto,Forest Hill South,5,4,Detached,2-Storey,61,10200.0,51-99 years,3500-5000 sqft,8500000.0,47160.0,23261,2795000.0,2022
608 Richmond Street West,Toronto,Forest Hill South,1,1,Apartments,No Data,98,No Data,No Data,706 sqft,789000.0,4252.0,23261,598000.0,2022
310 - 25 Richmond Street E,Toronto,Church-yonge Corridor,1+1,1,Condo Apt,Apartment,98,0-5 years,Restrict,700-799 sqft,799900.0,4315.0,2967,598000.0,2022
509 - 183 Dovercourt Road,Toronto,Trinity-bellwoods,1,1,Condo Apt,Loft,98,No Data,Restrict,600-699 sqft,769000.0,4137.0,2673,598000.0,2022
3904 - 311 Bay Street,Toronto,Bay Street Corridor,2,2,Condo Apt,Apartment,98,No Data,Restrict,1800-1999 sqft,2850000.0,15627.0,11204,2149900.0,2021
457 Richmond Street E,Toronto,Moss Park,4,4,SEMI-DETACHED,3-Storey,95,1304.25,6-15 years,3000-3500 sqft,40000002.0,222963.0,6323,40000001.0,2022
901 - 541 Blackthorn Avenue,Toronto,Keelesdale-eglinton West,1,1,Condo Apt,Apartment,95,No Data,Restrict,600-699 sqft,470000.0,2417.0,1182,111900.0,2004
525 Old Weston Road,Toronto,Weston-pellam Park,3,3,Triplex,2-Storey,87,1250.625,51-99 years,No Data,990000.0,5409.0,2711,111900.0,2004
250 Hallam Street,Toronto,Dovercourt-wallace Emerson-junction,3+1,3,Duplex,2-Storey,81,1501.3944,No Data,No Data,1099000.0,5855.0,4822,409900.0,2007
12 Highbourne Road,Toronto,Yonge-st. Clair,7+2,6,Detached,2-Storey,69,5112.2825,51-99 years,5000+ sqft,2879000.0,15789.0,13801,2150.0,2019
1924 - 500 Doris Avenue,Toronto,Willowdale East,1,1,Condo Apt,Apartment,69,No Data,Restrict,600-699 sqft,649000.0,3447.0,2456,1950.0,2021
2507 - 70 Temperance Street,Toronto,Bay Street Corridor,1+1,1,Condo Apt,Apartment,69,No Data,Restrict,500-599 sqft,729900.0,3912.0,2806,2200.0,2017
702 - 3840 Bathurst Street,Toronto,Clanton Park,2,2,Condo Apt,Apartment,69,No Data,Restrict,800-899 sqft,689900.0,3682.0,1972,699000.0,2022
535 - 388 Richmond Street W,Toronto,Waterfront Communities C1,1+1,1,Condo Apt,Loft,69,No Data,Restrict,900-999 sqft,875000.0,4747.0,3128,915000.0,2022
139 Dunvegan Road,Toronto,Forest Hill South,4+1,8,Detached,2-Storey,46,12991.0,No Data,5000+ sqft,14900000.0,82879.0,43445,15850000.0,2022
91 Ridley Boulevard,Toronto,Bedford Park-nortown,4+2,5,Detached,2-Storey,63,7950.0,6-15 years,No Data,4998000.0,27615.0,16702,5395000.0,2022
402 - 45 Sousa Mendes Street,Toronto,Dovercourt-wallace Emerson-junction,2+1,3,Condo Townhouse,Stacked Townhse,63,No Data,Restrict,1000-1199 sqft,999999.0,5466.0,3134,999999.0,2022
2009 - 1461 Lawrence Avenue W,Toronto,Brookhaven-amesbury,3,3,Condo Apt,Apartment,63,New,Restrict,900-999 sqft,729000.0,3907.0,3134,799000.0,2022
1473 Queen Street E,Toronto,Greenwood-coxwell,2+2,4,SEMI-DETACHED,2-Storey,85,2060.4,No Data,No Data,1299000.0,6971.0,4215,489900.0,2007
613 - 61 Markbrook Lane,Toronto,Mount Olive-silverstone-jamestown,1,2,Condo Apt,Apartment,85,No Data,N,700-799 sqft,524900.0,2733.0,1043,269900.0,2018
319 - 39 Parliament Street,Toronto,Waterfront Communities C8,2,1,Condo Apt,Apartment,85,No Data,Restrict,800-899 sqft,749000.0,4022.0,2389,199900.0,2003
902 - 1132 Bay Street,Toronto,Bay Street Corridor,2+1,3,Condo Apt,Apartment,85,No Data,Restrict,2500-2749 sqft,2499000.0,13668.0,7735,2599000.0,2022
1902 - 115 Blue Jays Way,Toronto,Waterfront Communities C1,3,2,Condo Apt,Apartment,85,0-5 years,Restrict,900-999 sqft,1088000.0,5793.0,4414,1088000.0,2022
610 - 1030 King Street W,Toronto,Niagara,1+1,1,Condo Apt,Apartment,85,No Data,Restrict,600-699 sqft,689900.0,3682.0,2250,638000.0,2021
71 Denvale Road,Toronto,O'connor-parkview,3+1,3,Detached,2-Storey,59,4760.0,No Data,No Data,1649900.0,8929.0,5801,1749900.0,2022
1113 - 75 The Donway W,Toronto,Banbury-don Mills,1,1,Condo Apt,Apartment,59,No Data,Restrict,500-599 sqft,550000.0,2877.0,1927,1749900.0,2022
50 The Palisades,Toronto,High Park-swansea,4,5,Detached,2-Storey,53,4037.4468,No Data,No Data,3500000.0,19255.0,12613,1749900.0,2022
Ph606 - 20 Orchid Place,Toronto,Malvern,2,2,Condo Apt,Apartment,53,No Data,Restrict,900-999 sqft,659900.0,3509.0,2243,1749900.0,2022
1308 - 159 Wellesley Street E,Toronto,Cabbagetown-south St. James Town,3,2,Condo Apt,Apartment,53,New,Restrict,800-899 sqft,898000.0,4879.0,3118,872000.0,2020
71 Denvale Road,Toronto,O'connor-parkview,3+1,3,Detached,2-Storey,59,4760.0,No Data,No Data,1649900.0,8929.0,5801,1749900.0,2022
1113 - 75 The Donway W,Toronto,Banbury-don Mills,1,1,Condo Apt,Apartment,59,No Data,Restrict,500-599 sqft,550000.0,2877.0,1927,1749900.0,2022
50 The Palisades,Toronto,High Park-swansea,4,5,Detached,2-Storey,53,4037.4468,No Data,No Data,3500000.0,19255.0,12613,1749900.0,2022
Ph606 - 20 Orchid Place,Toronto,Malvern,2,2,Condo Apt,Apartment,53,No Data,Restrict,900-999 sqft,659900.0,3509.0,2243,1749900.0,2022
1308 - 159 Wellesley Street E,Toronto,Cabbagetown-south St. James Town,3,2,Condo Apt,Apartment,53,New,Restrict,800-899 sqft,898000.0,4879.0,3118,872000.0,2020
265 - 525 Wilson Avenue,Toronto,Clanton Park,2,2,Condo Apt,Apartment,53,6-10 years,Restrict,900-999 sqft,768800.0,4136.0,2705,395990.0,2012
11 Tothill Road,Toronto,Humber Summit,3+1,2,Detached,Bungalow,38,5841.5,No Data,No Data,1650000.0,8930.0,3596,1795000.0,2022
190 Lowther Avenue,Toronto,Annex,3,2,Att/Row/Twnhouse,3-Storey,95,654.9675,No Data,1500-2000 sqft,1809000.0,9817.0,6489,1795000.0,2022
1704 - 75 St Nicholas Street,Toronto,Bay Street Corridor,2,2,Condo Apt,Apartment,95,0-5 years,Restrict,700-799 sqft,938000.0,5110.0,3918,739900.0,2016
1 Datchet Road,Toronto,Downsview-roding-cfb,4+1,3,Detached,1 1/2 Storey,64,9472.5,No Data,No Data,1098800.0,5853.0,3477,1249000.0,2022
36 Heathrow Drive,Toronto,Downsview-roding-cfb,4+1,3,Detached,2-Storey,70,7020.0,No Data,No Data,1248800.0,6691.0,3794,1400000.0,2022
13 Mcmillan Avenue,Toronto,West Hill,2+1,1,Detached,Bungalow,36,9500.0,No Data,No Data,979900.0,5351.0,2585,1400000.0,2022
544 Dupont Street,Toronto,Annex,3+1,3,SEMI-DETACHED,2-Storey,84,1526.0,No Data,No Data,1299000.0,6971.0,4702,1400000.0,2022
805 - 2359 Danforth Avenue,Toronto,East End-danforth,2+1,2,Condo Apt,Apartment,84,New,Restrict,1800-1999 sqft,1400000.0,7534.0,4702,1400000.0,2022
92 Vanbrugh Avenue,Toronto,Birchcliffe-cliffside,2+1,2,Detached,Bungalow,57,4263.6,No Data,No Data,796000.0,4293.0,3191,896900.0,2022
85 Newton Drive,Toronto,Newtonbrook East,3,2,Detached,Bungalow,64,6048.0,No Data,No Data,1698000.0,9198.0,6048,1450000.0,2021
1705 - 11 Lee Centre Drive,Toronto,Woburn,1+1,1,Condo Apt,Apartment,64,16-30 years,Restrict,500-599 sqft,569000.0,2986.0,1359,214900.0,2015
709 - 2359 Danforth Avenue,Toronto,East End-danforth,1+1,2,Condo Apt,Apartment,64,New,Restrict,600-699 sqft,790000.0,4258.0,1359,214900.0,2015
S102 - 455 Front Street E,Toronto,Waterfront Communities C8,1,1,Condo Apt,2-Storey,64,No Data,Restrict,500-599 sqft,600000.0,3165.0,2016,214900.0,2015
313 - 300 Front Street W,Toronto,Waterfront Communities C1,1+1,1,Condo Apt,Apartment,64,No Data,Restrict,600-699 sqft,745000.0,3999.0,2800,488000.0,2012
907 - 11 Charlotte Street,Toronto,Waterfront Communities C1,2,2,Condo Apt,Apartment,64,0-5 years,Restrict,900-999 sqft,1295000.0,6948.0,3959,1379900.0,2022
910 - 15 Lower Jarvis Street,Toronto,Waterfront Communities C8,1+1,1,Condo Apt,Apartment,64,New,Restrict,500-599 sqft,750000.0,4028.0,2591,1379900.0,2022
3 Sumner Heights Drive,Toronto,Bayview Village,2+3,3,Detached,Bungalow-Raised,24,6586.476900000001,No Data,1500-2000 sqft,2200000.0,11999.0,10105,1379900.0,2022
8 Daniel Cozens Court,Toronto,Newtonbrook West,4,6,Detached,2-Storey,39,5259.597000000001,0-5 years,3500-5000 sqft,2800000.0,15348.0,12323,5500.0,2020
619 - 35 Ormskirk Avenue,Toronto,High Park-swansea,2+1,1,Condo Apt,2-Storey,39,No Data,Restrict,1000-1199 sqft,849000.0,4597.0,2509,749000.0,2021
206 - 2359 Danforth Avenue,Toronto,East End-danforth,1,1,Condo Apt,Apartment,39,New,Restrict,0-499 sqft,599000.0,3159.0,2509,749000.0,2021
803 - 11 Lillian Street,Toronto,Mount Pleasant West,1+1,2,Condo Apt,Apartment,39,No Data,Restrict,500-599 sqft,659000.0,3504.0,2341,1900.0,2021
894 Danforth Road,Toronto,Kennedy Park,2,2,Detached,Bungalow,58,6863.72,No Data,No Data,1197000.0,6401.0,3001,1499999.0,2022
184 Winona Drive,Toronto,Wychwood,3,1,SEMI-DETACHED,2-Storey,88,2128.48,100+ years,No Data,899000.0,4885.0,5150,1499999.0,2022
34 Larkfield Drive,Toronto,Banbury-don Mills,4+1,6,Detached,2-Storey,28,6001.0,No Data,3500-5000 sqft,3988000.0,21978.0,16516,3988000.0,2022
16 Governors Road,Toronto,Leaside,4+2,6,Detached,2-Storey,48,5736.150000000001,6-15 years,3000-3500 sqft,4595000.0,25366.0,16683,2869000.0,2014
119 - 50 George Butchart Drive,Toronto,Downsview-roding-cfb,2,2,Condo Apt,Apartment,48,No Data,Restrict,700-799 sqft,725000.0,3884.0,16683,755000.0,2022
2011 - 2045 Lake Shore Boulevard W,Toronto,Mimico,2,2,Condo Apt,Apartment,48,No Data,Restrict,1200-1399 sqft,875988.0,4753.0,2363,319900.0,2013
921 - 8 Mondeo Drive,Toronto,Dorset Park,2,2,Condo Apt,Apartment,48,No Data,Restrict,800-899 sqft,729900.0,3912.0,1891,210000.0,2004
3205 - 426 University Avenue,Toronto,University,1,1,Condo Apt,Apartment,48,6-10 years,Restrict,500-599 sqft,638000.0,3383.0,2262,379900.0,2015
26 Goulding Avenue,Toronto,Newtonbrook West,4+1,7,Detached,2-Storey,77,6600.0,0-5 years,3500-5000 sqft,3688000.0,20304.0,14440,3688000.0,2022
1234 - 21 Pirandello Street,Toronto,Niagara,3+1,3,Condo Townhouse,3-Storey,77,No Data,Restrict,1400-1599 sqft,1349100.0,7250.0,4487,1398000.0,2022
812 - 82 Lombard Street,Toronto,Church-yonge Corridor,2,2,Condo Apt,Apartment,77,No Data,Restrict,1400-1599 sqft,1050000.0,5581.0,3798,649000.0,2015
1004 - 224 King Street W,Toronto,Waterfront Communities C1,2,2,Condo Apt,Apartment,77,6-10 years,Restrict,900-999 sqft,1349000.0,7250.0,4487,1149000.0,2019
1718 - 7 Bishop Avenue,Toronto,Newtonbrook East,2+1,2,Condo Apt,Apartment,77,No Data,Restrict,900-999 sqft,729000.0,3907.0,1997,614990.0,2020
78 Tilden Crescent,Toronto,Humber Heights,4,2,Detached,2-Storey,35,4000.0,51-99 years,1100-1500 sqft,1239999.0,6641.0,3008,1595.0,2010
54 Cedar Brae Boulevard,Toronto,Eglinton East,4+1,4,Detached,2-Storey,20,13138.669999999998,31-50 years,3000-3500 sqft,2049000.0,11157.0,6983,2195000.0,2022
349 Sackville Street,Toronto,Cabbagetown-south St. James Town,4+1,3,SEMI-DETACHED,3-Storey,86,1645.8899999999999,100+ years,2000-2500 sqft,1995000.0,10855.0,6959,899000.0,2014
49 Henderson Avenue,Toronto,Palmerston-little Italy,3,2,SEMI-DETACHED,2-Storey,91,1426.8,100+ years,No Data,1599000.0,8645.0,5649,399900.0,2004
915 - 65 East Liberty Street,Toronto,Niagara,2,1,Condo Apt,Apartment,91,No Data,Restrict,800-899 sqft,899900.0,4890.0,2805,399900.0,2004
214 - 50 Ordnance Street,Toronto,Niagara,1+1,2,Condo Apt,Apartment,91,0-5 years,Restrict,600-699 sqft,699000.0,3734.0,4184,699000.0,2022
248 Airdrie Road,Toronto,Leaside,3+1,3,SEMI-DETACHED,2-Storey,84,2926.0,No Data,No Data,1699000.0,9203.0,8000,1699000.0,2022
707 - 1 Scott Street,Toronto,Waterfront Communities C8,3,2,Condo Apt,Apartment,84,No Data,Restrict,1600-1799 sqft,2000000.0,10883.0,6806,2088000.0,2022
173 Chambers Avenue,Toronto,Keelesdale-eglinton West,3+1,2,Detached,1 1/2 Storey,81,2900.0,No Data,No Data,899000.0,4885.0,3312,749900.0,2021
43 Algoma Street,Toronto,Mimico,2+1,2,Detached,2-Storey,65,3260.4900000000002,No Data,No Data,1099900.0,5860.0,3210,749900.0,2021
